result,sampleDotCode,sampleTime,resultName,deviceName,unitName
25.6,ST010217,2025-07-14 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
56.1,ST010217,2025-07-14 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
18.3,ST010217,2025-07-14 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.4,ST010217,2025-07-14 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-07-14 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-07-17 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
89.9,ST010217,2025-07-17 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.2,ST010217,2025-07-17 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
25.5,ST010217,2025-07-17 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
56.6,ST010217,2025-07-17 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
17.9,ST010217,2025-07-17 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.8,ST010217,2025-07-17 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-07-17 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
61,ST010217,2025-07-21 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
82.4,ST010217,2025-07-21 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-07-21 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
17.3,ST010217,2025-07-21 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
60.5,ST010217,2025-07-21 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
22.2,ST010217,2025-07-21 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
2.1,ST010217,2025-07-21 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.05,ST010217,2025-07-21 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
62,ST010217,2025-07-24 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
85.7,ST010217,2025-07-24 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-07-24 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
17.9,ST010217,2025-07-24 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
60.9,ST010217,2025-07-24 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
21.1,ST010217,2025-07-24 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
1.9,ST010217,2025-07-24 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-07-24 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
62,ST010217,2025-07-28 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
90.3,ST010217,2025-07-28 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.2,ST010217,2025-07-28 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
27.8,ST010217,2025-07-28 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
54.3,ST010217,2025-07-28 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
18.0,ST010217,2025-07-28 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
4.3,ST010217,2025-07-28 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-07-28 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
62,ST010217,2025-07-31 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
91.5,ST010217,2025-07-31 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.2,ST010217,2025-07-31 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
21.8,ST010217,2025-07-31 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
58.2,ST010217,2025-07-31 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
20.0,ST010217,2025-07-31 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.0,ST010217,2025-07-31 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.05,ST010217,2025-07-31 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-08-04 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
87.1,ST010217,2025-08-04 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.1,ST010217,2025-08-04 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
23.6,ST010217,2025-08-04 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
59.0,ST010217,2025-08-04 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
17.4,ST010217,2025-08-04 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
2.1,ST010217,2025-08-04 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-08-04 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
23.5,ST010217,2025-08-07 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
58.6,ST010217,2025-08-07 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
17.9,ST010217,2025-08-07 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
2.3,ST010217,2025-08-07 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-08-07 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
62,ST010217,2025-08-07 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
82.5,ST010217,2025-08-07 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-08-07 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
61,ST010217,2025-08-11 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
80.1,ST010217,2025-08-11 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-08-11 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
18.9,ST010217,2025-08-11 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
60.1,ST010217,2025-08-11 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
21.0,ST010217,2025-08-11 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
2.3,ST010217,2025-08-11 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-08-11 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-08-14 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
80.4,ST010217,2025-08-14 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-08-14 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
19.0,ST010217,2025-08-14 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
59.4,ST010217,2025-08-14 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
20.8,ST010217,2025-08-14 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
