result,sampleDotCode,sampleTime,resultName,deviceName,unitName
61,ST040058,2025-11-17 08:00:00,COD,延化140万吨/年柴油精制装置,<p>mg/L</p>
19.70,ST040058,2025-11-17 08:00:00,石油类,延化140万吨/年柴油精制装置,mg/L
7.38,ST040058,2025-11-24 08:00:00,pH,延化140万吨/年柴油精制装置,
212,ST040058,2025-11-24 08:00:00,COD,延化140万吨/年柴油精制装置,<p>mg/L</p>
20.90,ST040058,2025-11-24 08:00:00,石油类,延化140万吨/年柴油精制装置,mg/L
1.03,ST040058,2025-11-24 08:00:00,氨氮,延化140万吨/年柴油精制装置,<p>mg/L</p>
1.23,ST040058,2025-12-01 08:00:00,氨氮,延化140万吨/年柴油精制装置,<p>mg/L</p>
238,ST040058,2025-12-01 08:00:00,COD,延化140万吨/年柴油精制装置,<p>mg/L</p>
22.40,ST040058,2025-12-01 08:00:00,石油类,延化140万吨/年柴油精制装置,mg/L
6.60,ST040058,2025-12-01 08:00:00,pH,延化140万吨/年柴油精制装置,
6.44,ST040058,2025-12-08 08:00:00,pH,延化140万吨/年柴油精制装置,
6.75,ST040058,2025-12-08 08:00:00,石油类,延化140万吨/年柴油精制装置,mg/L
115,ST040058,2025-12-08 08:00:00,COD,延化140万吨/年柴油精制装置,<p>mg/L</p>
1.28,ST040058,2025-12-08 08:00:00,氨氮,延化140万吨/年柴油精制装置,<p>mg/L</p>
210,ST040058,2025-12-15 08:00:00,COD,延化140万吨/年柴油精制装置,<p>mg/L</p>
7.08,ST040058,2025-12-15 08:00:00,pH,延化140万吨/年柴油精制装置,
20.15,ST040058,2025-12-15 08:00:00,石油类,延化140万吨/年柴油精制装置,mg/L
0.96,ST040058,2025-12-15 08:00:00,氨氮,延化140万吨/年柴油精制装置,<p>mg/L</p>
1.04,ST040058,2025-12-22 08:00:00,氨氮,延化140万吨/年柴油精制装置,<p>mg/L</p>
271,ST040058,2025-12-22 08:00:00,COD,延化140万吨/年柴油精制装置,<p>mg/L</p>
21.05,ST040058,2025-12-22 08:00:00,石油类,延化140万吨/年柴油精制装置,mg/L
6.28,ST040058,2025-12-22 08:00:00,pH,延化140万吨/年柴油精制装置,
704,ST040058,2025-12-29 08:00:00,COD,延化140万吨/年柴油精制装置,<p>mg/L</p>
15.50,ST040058,2025-12-29 08:00:00,石油类,延化140万吨/年柴油精制装置,mg/L
7.55,ST040058,2025-12-29 08:00:00,pH,延化140万吨/年柴油精制装置,
1.98,ST040058,2025-12-29 08:00:00,氨氮,延化140万吨/年柴油精制装置,<p>mg/L</p>
6.98,ST040058,2026-01-05 08:00:00,pH,延化140万吨/年柴油精制装置,
480,ST040058,2026-01-05 08:00:00,COD,延化140万吨/年柴油精制装置,<p>mg/L</p>
2.05,ST040058,2026-01-05 08:00:00,氨氮,延化140万吨/年柴油精制装置,<p>mg/L</p>
18.90,ST040058,2026-01-05 08:00:00,石油类,延化140万吨/年柴油精制装置,mg/L
1.08,ST040058,2026-01-12 08:00:00,氨氮,延化140万吨/年柴油精制装置,<p>mg/L</p>
